State_Name,Crop_Year,Crop_Name,Season,Area,Production,Rainfall,Minimum Selling Price,Yield
Manipur,2009,RICE,Kharif,166150,406150,1219.9,950,2.444477881
Meghalaya,2009,RICE,Kharif,104285,200209,1473.5,950,1.919825478
Mizoram,2009,RICE,Kharif,52851,29464,1219.9,950,0.5574918166
Nagaland,2009,RICE,Kharif,168170,240310,1219.9,950,1.428970684
Odisha,2009,RICE,Kharif,4455200,7540000,1122.7,950,1.692404381
Puducherry,2009,RICE,Kharif,20437,53324,87,950,2.609189216
Punjab,2009,RICE,Kharif,2621000,10138000,300.1,950,3.867989317
Rajasthan,2009,RICE,Kharif,107758,169823,386.7,950,1.575966518
Sikkim,2009,RICE,Kharif,9200,21450,1549.6,950,2.331521739
Tamil Nadu,2009,RICE,Kharif,1931397,6610607,280.4,950,3.422707501
Uttar Pradesh,2009,RICE,Kharif,5920752,11123613,445.3,950,1.87875003
Uttarakhand,2009,RICE,Kharif,228483,591016,608.7,950,2.586695728
West Bengal,2009,RICE,Kharif,5687028,14745892,974.6,950,2.59289949
Andaman and Nicobar Islands,2010,RICE,Kharif,8390,23916,1797.8,1000,2.850536353
Andhra Pradesh,2010,RICE,Kharif,2576000,8880000,1080.4,1000,3.447204969
Arunachal Pradesh,2010,RICE,Kharif,121570,155993,1653.6,1000,1.283153739
Assam,2010,RICE,Kharif,2323996,3318608,1690.2,1000,1.427974919
Bihar,2010,RICE,Kharif,3124030,3640210,536.2,1000,1.165228887
Chandigarh,2010,RICE,Kharif,20,100,600.8,1000,5
Chhattisgarh,2010,RICE,Kharif,3937796,6637737,1172.2,1000,1.685647758
Dadra and Nagar Haveli,2010,RICE,Kharif,13600,23400,931.2,1000,1.720588235
Goa,2010,RICE,Kharif,27314,61896,3467.4,1000,2.266090649
Gujarat,2010,RICE,Kharif,758600,1474200,1035,1000,1.943316636
Haryana,2010,RICE,Kharif,1072545,3606000,600.8,1000,3.362096695
Himachal Pradesh,2010,RICE,Kharif,77709,118277,851.2,1000,1.522050213
Jammu and Kashmir,2010,RICE,Kharif,251333.1605,465041.0123,522.9,1000,1.65141022
Jharkhand,2010,RICE,Kharif,1287723.852,2169111,578.4,1000,1.68445354
Karnataka,2010,RICE,Kharif,1513987,4031538.07,630.4,1000,2.662861748
Kerala,2010,RICE,Kharif,234266,590241,1928,1000,2.519533351
Madhya Pradesh,2010,RICE,Kharif,1706557,1571103,907,1000,0.9206273216
Maharashtra,2010,RICE,Kharif,1450000,2137114,516.39,1000,1.473871724
Manipur,2010,RICE,Kharif,162842,382695.5556,1482,1000,2.350103509
Meghalaya,2010,RICE,Kharif,106320,200077,1690.2,1000,1.881837848
Mizoram,2010,RICE,Kharif,54541,15688,1482,1000,0.2876368237
Nagaland,2010,RICE,Kharif,181390,381360,1482,1000,2.102431226
Odisha,2010,RICE,Kharif,4455000,6812000,969.9,1000,1.529068462
Puducherry,2010,RICE,Kharif,20780,50716,158.8,1000,2.440615977
Punjab,2010,RICE,Kharif,2655000,10489000,395.1,1000,3.950659134
Rajasthan,2010,RICE,Kharif,127831,259657,628.3,1000,2.0312522
Sikkim,2010,RICE,Kharif,11860,19480,1920.8,1000,1.642495784
Tamil Nadu,2010,RICE,Kharif,1789107,5039954,365.4,1000,2.817022123
Uttar Pradesh,2010,RICE,Kharif,5709388,11780112,772.3,1000,2.063288044
Uttarakhand,2010,RICE,Kharif,285693,545586,1253.9,1000,1.909693272
West Bengal,2010,RICE,Kharif,5719777,14719520,770.7,1000,2.573442986
Andaman and Nicobar Islands,2011,RICE,Kharif,9373.495142,27875.7575,2165,1080,2.973891497
Andhra Pradesh,2011,RICE,Kharif,2695725,8880586,685.6,1080,3.294321936
Arunachal Pradesh,2011,RICE,Kharif,123500,159543,1384.2,1080,1.291846154
Assam,2011,RICE,Kharif,2484126,4008435,1236,1080,1.613619841
Bihar,2011,RICE,Kharif,2845368,3112618,964.8,1080,1.093924582
Chandigarh,2011,RICE,Kharif,20,103,439.8,1080,5.15
Chhattisgarh,2011,RICE,Kharif,3939826,6300825,1218.2,1080,1.59926479
Dadra and Nagar Haveli,2011,RICE,Kharif,12500,13500,1200.6,1080,1.08
Goa,2011,RICE,Kharif,26019,59543,3697.3,1080,2.288443061
Gujarat,2011,RICE,Kharif,675900,1233000,889.8,1080,1.824234354
Haryana,2011,RICE,Kharif,1212999,3299900,439.8,1080,2.72044742
